id: _Jj0QAWg	Chunk: {'title': '2.1.1', 'text': '故障现象：空气起动机断开时的高压转子转速高于或低于41～44%(4700+100 -200转/分),起动机 工作时间小于56±4秒。\n原因：HP-30 K II 的起动机断开转速调整不当。\n排除方法：重新调整起动机断开转速（18号螺钉）(见调整、试验章节)'}
id: X7kfM-Lt	Chunk: {'title': '2.1.2', 'text': '故障现象：起动时转速“悬挂”在慢车转速以下，喷嘴第1油路油压不增加，排气温度不增高。\n原因1：HP-30 K II 的油门节流活门摇臂未放置到慢车区域。\n排除方法1：调整油门操纵系统。\n原因2：HP-30 K II 自动起动系统的供气系统管路不密封。\n排除方法2：检查自动起动的供气系统，排除漏气。\n原因3：HP-30 K II 自动起动系统的空气滤堵塞。\n排除方法3：用汽油或煤油清洗 HP-30 K II 自动起动系统的空气滤。'}
id: NX_43ACY	Chunk: {'title': '2.1.3', 'text': '故障现象：在起动时或在飞行中，发动机在慢车转速推不上去。\n原因1：HP-30 K II 的油门操纵摇臂或座舱内发动机操纵摇臂位置不正确。\n排除方法1：检查座舱油门操纵手柄和摇臂位置以及 HP-30 K II 节流活门摇臂的位置。当座舱内油门手柄处于慢车位置时，节流活门摇臂应处于附件慢车区域中间刻线，若不如此，应调整油门的操纵系统。\n原因2：HP-30 K II 自动起动装置高度调节器不正常。\n排除方法2：调整高度调节器的起始工作高度。'}
id: R9sJFsVz	Chunk: {'title': '2.1.4', 'text': '故障现象：起动时无燃油供给。\n原因1：燃油系统气塞。\n排除方法1：燃油系统放气要通过 TMP、ИМТ-3、ЦНА-30K 和 РППО-30KП 的放气活门进行。\n原因2：HP-30 K II 的自动起动装置薄膜破裂\n排除方法2：更换 HP-30 K II。'}
id: VrT7WY3Q	Chunk: {'title': '2.1.5', 'text': '故障现象： 起动时发动机进入到慢车转速时间超过 80s。\n原因1： HP-30K П 自动起动装置调整不正确。\n排除方法1： 调整自动起动装置。\n原因2： HP-30K П 自动起动装置的供气系统空气滤堵塞。\n排除方法2： 用汽油或煤油清洗被堵的空气滤。'}
id: sRJdFAiu	Chunk: {'title': '2.1.6', 'text': '故障现象： 从起动开始到转速 n2=(23%~27.5%) (2500r/min~3000r/min)燃油第1油路的压力急升，排气温度急升。\n原因： 燃油消耗过大。\n排除方法： 调整 HP-30K П 的自动起动装置，减少起动的燃油供给。'}
id: aMPiEZLX	Chunk: {'title': '2.1.7', 'text': '起动过程中，发动机由n2=27.5%(3000 转/分)到慢车转速状态，涡轮后温度过 高\n故障现象： 起动过程结束后，发动机由 n2=27.5% (3000r/min) 到慢车转速状态，涡轮后温度过高。\n原因： 自动起动装置调整不当，起动时供油太多。\n排除方法： 调整 HP-30K П 的起动供油部分，减少起动的燃油供给。'}
id: dhrodaCF	Chunk: {'title': '2.1.8', 'text': '故障现象：发动机起动进入慢车转速的时间少于 35s，慢车转速状态的转速不符合规定。\n原因： HP-30K П 调整不正确。\n排除方法： 重新调整慢车转速。'}
id: Mx5pW5Fz	Chunk: {'title': '2.1.9', 'text': '故障现象： 进入 HP-30K П 的燃油压力低于 0.1764MPa 或高于 0.2842 MPa。\n原因： 增压油泵 ДПH44C-П3T 工作不良。\n排除方法： 更换增压油泵。'}
id: c1I5_B_Q	Chunk: {'title': '2.1.10', 'text': '故障现象： 在自动工作转速开始后 (86.5±0.5%, 9440±50r/min) 转速不上升。\n原因： 温度执行机构 ИМТ-3 回油活门不密封。\n排除方法： 更换温度执行机构 ИМТ-3。'}
id: AI-TRjMI	Chunk: {'title': '2.1.11', 'text': '故障现象： 发动机在指定工作转速，高、低压压气机转速摆动。\n原因： 燃油系统内有空气。\n排除方法： 经附件 TMP、ИМТ-3、ЦHA-30K 和 РППО-30KП 的放气活门，放出燃油系统空气。'}
